Year,LanguageTag,TargetTag,Quantity,ChuyenNganh
2021,python,matplotlib,6958,Data Science & AI
2021,python,tensorflow,6587,Data Science & AI
2021,python,flask,4788,Web Backend
2021,python,keras,4079,Data Science & AI
2021,python,opencv,3841,Data Science & AI
2021,python,html,3517,Web Frontend
2021,python,pytorch,2870,Data Science & AI
2021,python,scikit-learn,2534,Data Science & AI
2021,python,jupyter-notebook,2408,Data Science & AI
2021,python,django-models,2133,Web Backend
2021,python,pygame,2013,Game Development
2021,python,deep-learning,1979,Data Science & AI
2021,python,django-rest-framework,1805,Web Backend
2021,python,sqlalchemy,1770,Database
2021,python,plotly,1647,Data Science & AI
2021,python,docker,1552,DevOps & Cloud
2021,python,sql,1542,Database
2021,python,postgresql,1507,Database
2021,python,seaborn,1503,Data Science & AI
2021,python,mysql,1472,Database
2021,python,nlp,1405,Data Science & AI
2021,python,django-views,1387,Web Backend
2021,python,sqlite,1313,Database
2021,python,plot,1276,Data Science & AI
2021,python,pandas-groupby,1176,Data Science & AI
2021,python,neural-network,946,Data Science & AI
2021,python,fastapi,943,Web Backend
2021,python,plotly-dash,892,Data Science & AI
2021,python,random,842,Web Frontend
2021,rust,traits,255,Data Science & AI
2021,rust,async-await,72,Data Science & AI
2021,rust,trait-objects,43,Data Science & AI
2021,rust,postgresql,37,Database
2021,rust,docker,32,DevOps & Cloud
2021,rust,rust-sqlx,32,Database
2021,rust,blockchain,30,Data Science & AI
2021,rust,mongodb,23,Database
2021,rust,random,16,Web Frontend
2021,rust,mysql,16,Database
2021,swift,ios,11067,Mobile App
2021,swift,swiftui,4743,Mobile App
2021,swift,xcode,3384,Mobile App
2021,swift,firebase,916,Database
2021,swift,swift5,432,Mobile App
2021,swift,firebase-realtime-database,217,Database
2021,swift,swift-package-manager,192,Mobile App
2021,swift,rx-swift,158,Mobile App
2021,swift,ios15,156,Mobile App
2021,swift,flutter,139,Mobile App
2021,swift,firebase-authentication,137,Web Backend
2021,swift,swiftui-list,136,Mobile App
2021,swift,ios14,128,Mobile App
2021,swift,swiftui-navigationlink,114,Mobile App
2021,swift,xcode12,109,Mobile App
2021,swift,react-native,104,Mobile App
2021,swift,swiftui-navigationview,102,Mobile App
2021,swift,xcode13,92,Mobile App
2021,swift,swift-protocols,91,Mobile App
2021,swift,firebase-cloud-messaging,78,Database
2021,swift,async-await,77,Data Science & AI
2021,swift,constraints,66,Data Science & AI
2021,typescript,angular,8271,Web Frontend
2021,typescript,reactjs,6564,Web Frontend
2021,typescript,node.js,2594,Web Backend
2021,typescript,html,1369,Web Frontend
2021,typescript,typescript-generics,1052,Web Frontend
2021,typescript,vue.js,854,Web Frontend
2021,typescript,react-native,751,Mobile App
2021,typescript,nestjs,719,Web Backend
2021,typescript,typescript-typings,698,Web Frontend
2021,typescript,next.js,654,Web Frontend
2021,typescript,react-hooks,537,Web Frontend
2021,typescript,css,501,Web Frontend
2021,typescript,express,465,Web Backend
2021,typescript,webpack,461,Web Frontend
2021,typescript,angular-material,459,Web Frontend
2021,typescript,firebase,407,Database
2021,typescript,react-typescript,310,Web Frontend
2021,typescript,vuejs3,303,Web Frontend
2021,typescript,mongodb,301,Database
2021,typescript,react-redux,218,Web Frontend
2021,typescript,axios,218,Mobile App
2021,typescript,async-await,161,Data Science & AI
2021,typescript,angular-reactive-forms,159,Web Frontend
2021,typescript,postgresql,158,Database
2021,typescript,angular11,138,Web Frontend
2021,typescript,aws-cdk,127,DevOps & Cloud
2021,typescript,angular8,113,Web Frontend
2021,typescript,angularjs,112,Web Frontend
2021,typescript,react-router,112,Web Frontend
2021,typescript,angular12,107,Web Frontend
2021,typescript,create-react-app,98,Web Frontend
2021,typescript,vuejs2,96,Web Frontend
2021,typescript,svelte,88,Web Frontend
2021,typescript,react-testing-library,86,Web Frontend
2021,typescript,mysql,85,Database
2021,typescript,react-hook-form,82,Web Frontend
2022,c#,unity-game-engine,5100,Game Development
2022,c#,asp.net-core,4739,Web Backend
2022,c#,asp.net,3837,Web Backend
2022,c#,asp.net-mvc,2208,Web Backend
2022,c#,entity-framework-core,2102,Web Backend
2022,c#,entity-framework,1818,Web Backend
2022,c#,sql-server,1122,Database
2022,c#,azure,1079,DevOps & Cloud
2022,c#,asp.net-web-api,872,Web Backend
2022,c#,sql,821,Database
2022,c#,asp.net-core-webapi,696,Web Backend
2022,c#,asp.net-core-mvc,679,Web Backend
2022,c#,async-await,618,Data Science & AI
2022,c#,android,544,Mobile App
2022,c#,azure-functions,538,DevOps & Cloud
2022,c#,html,528,Web Frontend
2022,c#,mongodb,369,Database
2022,c#,asp.net-core-6.0,350,Web Backend
2022,c#,mysql,314,Database
2022,c#,jquery,309,Web Frontend
2022,c#,xamarin.android,302,Mobile App
2022,c#,docker,279,DevOps & Cloud
2022,c#,authentication,265,Web Backend
2022,c#,postgresql,243,Database
2022,c#,asp.net-identity,230,Web Backend
2022,c#,angular,223,Web Frontend
2022,c#,sqlite,221,Database
2022,c++,opencv,553,Data Science & AI
2022,c++,opengl,502,Game Development
2022,c++,android,186,Mobile App
2022,c++,gdb,142,Database
2022,go,docker,283,DevOps & Cloud
2022,go,postgresql,243,Database
2022,go,mongodb,222,Database
2022,go,kubernetes,188,DevOps & Cloud
2022,go,mysql,119,Database
2022,go,sql,94,Database
2022,go,docker-compose,71,DevOps & Cloud
2022,go,aws-lambda,67,DevOps & Cloud
2022,go,html,57,Web Frontend
2022,go,redis,47,Database
2022,go,dockerfile,46,DevOps & Cloud
2022,go,aws-sdk-go,36,DevOps & Cloud
2022,go,authentication,35,Web Backend
2022,go,azure,34,DevOps & Cloud
2022,go,jwt,33,Web Backend
2022,go,reactjs,30,Web Frontend
2022,go,node.js,29,Web Backend
2022,go,amazon-dynamodb,28,Database
2022,java,spring-boot,10154,Web Backend
2022,java,android,8230,Mobile App
2022,java,spring,7769,Web Backend
2022,java,hibernate,2169,Web Backend
2022,java,android-studio,1960,Mobile App
2022,java,kotlin,1888,Mobile App
2022,java,spring-data-jpa,1302,Web Backend
2022,java,mysql,936,Database
2022,java,firebase,877,Database
2022,java,spring-mvc,855,Web Backend
2022,java,spring-security,722,Web Backend
2022,java,sql,649,Database
2022,java,postgresql,644,Database
2022,java,docker,637,DevOps & Cloud
2022,java,jdbc,608,Database
2022,java,mongodb,500,Database
2022,java,firebase-realtime-database,497,Database
2022,java,spring-webflux,460,Web Backend
2022,java,android-recyclerview,453,Mobile App
2022,java,html,376,Web Frontend
2022,java,spring-data,326,Web Backend
2022,java,oracle-database,293,Database
2022,java,azure,249,DevOps & Cloud
2022,java,spring-kafka,245,Web Backend
2022,javascript,reactjs,33903,Web Frontend
2022,javascript,html,25675,Web Frontend
2022,javascript,node.js,15846,Web Backend
2022,javascript,css,12983,Web Frontend
2022,javascript,typescript,9722,Web Frontend
2022,javascript,jquery,9513,Web Frontend
2022,javascript,vue.js,5485,Web Frontend
2022,javascript,react-native,4550,Mobile App
2022,javascript,angular,4096,Web Frontend
2022,javascript,next.js,3427,Web Frontend
2022,javascript,express,3378,Web Backend
2022,javascript,react-hooks,3210,Web Frontend
2022,javascript,php,3209,Web Backend
2022,javascript,firebase,2900,Database
2022,javascript,mongodb,2407,Database
2022,javascript,ajax,1966,Web Frontend
2022,javascript,axios,1760,Mobile App
2022,javascript,dom,1553,Web Frontend
2022,javascript,vuejs3,1498,Web Frontend
2022,javascript,async-await,1237,Data Science & AI
2022,javascript,webpack,1153,Web Frontend
2022,javascript,react-router,990,Web Frontend
2022,javascript,django,989,Web Backend
2022,javascript,laravel,928,Web Backend
2022,javascript,vuejs2,866,Web Frontend
2022,javascript,react-router-dom,857,Web Frontend
2022,javascript,react-redux,731,Web Frontend
2022,javascript,mysql,724,Database
2022,javascript,android,619,Mobile App
2022,javascript,svelte,549,Web Frontend
2022,javascript,firebase-authentication,525,Web Backend
2022,javascript,html5-canvas,525,Web Frontend
2022,javascript,firebase-realtime-database,495,Database
2022,javascript,tailwind-css,490,Data Science & AI
2022,javascript,nestjs,481,Web Backend
2022,javascript,bootstrap-5,477,Web Frontend
2022,javascript,vite,436,Web Frontend
2022,php,laravel,8403,Web Backend
2022,php,mysql,3470,Database
2022,php,html,3092,Web Frontend
2022,php,jquery,1302,Web Frontend
2022,php,symfony,1255,Web Backend
2022,php,ajax,1193,Web Frontend
2022,php,laravel-8,1133,Web Backend
2022,php,sql,1001,Database
2022,php,css,669,Web Frontend
2022,php,laravel-9,538,Web Backend
2022,php,docker,501,DevOps & Cloud
2022,php,nginx,330,DevOps & Cloud
2022,php,composer-php,322,Web Backend
2022,php,mysqli,312,Database
2022,php,laravel-blade,288,Web Backend
2022,php,email,274,Data Science & AI
2022,php,authentication,254,Web Backend
2022,php,vue.js,201,Web Frontend
2022,php,phpmailer,198,Data Science & AI
2022,php,phpunit,196,Web Backend
2022,php,reactjs,174,Web Frontend
2022,php,laravel-livewire,171,Web Backend
2022,php,laravel-5,169,Web Backend
2022,php,phpmyadmin,145,Web Backend
2022,php,sql-server,142,Database
2022,php,docker-compose,142,DevOps & Cloud
2022,php,postgresql,141,Database
2022,php,cakephp,138,Web Backend
2022,php,php-8.1,130,Web Backend
2022,php,php-8,123,Web Backend
2022,php,node.js,123,Web Backend
2022,php,mongodb,119,Database
2022,python,pandas,37162,Data Science & AI
2022,python,dataframe,17837,Data Science & AI
2022,python,django,11780,Web Backend
2022,python,numpy,10035,Data Science & AI
2022,python,matplotlib,5936,Data Science & AI
2022,python,tensorflow,4907,Data Science & AI
2022,python,flask,3285,Web Backend
2022,python,opencv,3103,Data Science & AI
2022,python,html,2923,Web Frontend
2022,python,keras,2800,Data Science & AI
2022,python,pytorch,2567,Data Science & AI
2022,python,jupyter-notebook,2293,Data Science & AI
2022,python,django-models,2083,Web Backend
2022,python,scikit-learn,1923,Data Science & AI
2022,python,sqlalchemy,1754,Database
2022,python,plotly,1669,Data Science & AI
2022,python,deep-learning,1656,Data Science & AI
2022,python,django-rest-framework,1636,Web Backend
2022,python,docker,1550,DevOps & Cloud
2022,python,pygame,1475,Game Development
2022,python,fastapi,1463,Web Backend
2022,python,sql,1456,Database
2022,python,django-views,1389,Web Backend
2022,python,postgresql,1264,Database
2022,python,nlp,1141,Data Science & AI
2022,python,mysql,1137,Database
2022,python,plot,1123,Data Science & AI
2022,python,seaborn,1051,Data Science & AI
2022,python,sqlite,936,Database
2022,python,azure,827,DevOps & Cloud
2022,python,random,745,Web Frontend
2022,python,pandas-groupby,738,Data Science & AI
2022,rust,traits,247,Data Science & AI
2022,rust,async-await,77,Data Science & AI
2022,rust,docker,59,DevOps & Cloud
2022,rust,postgresql,57,Database
2022,rust,rust-sqlx,52,Database
2022,rust,blockchain,38,Data Science & AI
2022,rust,mongodb,36,Database
2022,rust,trait-objects,27,Data Science & AI
2022,swift,ios,7979,Mobile App
