LanguageTag,TargetTag,Quantity
"swift","wkwebview","20"
"swift","scenekit","19"
"swift","swiftui-navigationstack","19"
"swift","liquid-glass","19"
"swift","uicollectionview","18"
"swift","swift-package-manager","18"
"swift","swiftui-list","17"
"swift","generics","16"
"swift","appintents","15"
"swift","swiftui-tabview","15"
"swift","mapkit","15"
"swift","arkit","15"
"swift","accessibility","14"
"swift","widgetliveactivity","14"
"swift","arrays","14"
"swift","camera","14"
"swift","audio","13"
"swift","urlsession","13"
"swift","uitableview","13"
"swift","cocoa","12"
"swift","google-cloud-firestore","12"
"swift","widget","12"
"swift","scrollview","12"
"swift","ios18","12"
"swift","push-notification","12"
"swift","cloudkit","12"
"swift","apple-push-notifications","12"
"swift","observable","11"
"swift","uiscrollview","11"
"swift","firebase-authentication","11"
"swift","storekit","11"
"swift","storekit2","11"
"swift","json","11"
"swift","xctest","10"
"swift","mobile","10"
"swift","tvos","10"
"swift","actor","10"
"swift","carplay","10"
"swift","swiftui-scrollview","10"
"swift","widgetkit","10"
"swift","c++","9"
"swift","swiftui-navigationlink","9"
"swift","codable","9"
"swift","swiftui-sheet","9"
"swift","uinavigationbar","9"
"swift","unit-testing","9"
"swift","uitextfield","8"
"swift","xcframework","8"
"swift","uiview","8"
"swift","sprite-kit","8"
"swift","xcode16","8"
"swift","charts","8"
"swift","vapor","8"
"swift","uibutton","8"
"swift","in-app-purchase","8"
"swift","core-audio","8"
"swift","watchos","8"
"swift","visionos","7"
"swift","cocoapods","7"
"swift","swift-macro","7"
"swift","swiftui-charts","7"
"swift","sendable","7"
"swift","swift-testing","7"
"swift","admob","7"
"swift","avplayer","7"
"swift","toolbar","7"
"swift","enums","7"
"swift","uiviewcontroller","7"
"swift","kotlin","7"
"swift","core-graphics","7"
"swift","core-image","7"
"swift","core-location","7"
"swift","expo","7"
"swift","tipkit","6"
"swift","screencapturekit","6"
"swift","keyboard","6"
"swift","alamofire","6"
"typescript","javascript","580"
"typescript","angular","517"
"typescript","reactjs","502"
"typescript","next.js","290"
"typescript","node.js","274"
"typescript","react-native","133"
"typescript","typescript-generics","123"
"typescript","nestjs","103"
"typescript","vite","82"
"typescript","html","80"
"typescript","vue.js","77"
"typescript","visual-studio-code","67"
"typescript","angular-signals","64"
"typescript","express","60"
"typescript","expo","59"
"typescript","zod","53"
"typescript","jestjs","51"
"typescript","types","51"
"typescript","playwright","47"
"typescript","rxjs","47"
"typescript","css","45"
"typescript","prisma","44"
"typescript","npm","41"
"typescript","tailwind-css","40"
"typescript","eslint","38"
"typescript","webpack","37"
"typescript","vuejs3","37"
"typescript","material-ui","36"
"typescript","generics","35"
"typescript","react-hook-form","31"
"typescript","angular-material","31"
"typescript","firebase","30"
"typescript","angular19","29"
"typescript","typeorm","29"
"typescript","electron","28"
"typescript","postgresql","28"
"typescript","nuxt.js","26"
"typescript","svelte","26"
"typescript","monorepo","24"
"typescript","next-auth","24"
"typescript","mongodb","23"
"typescript","tsconfig","22"
"typescript","vscode-extensions","22"
"typescript","axios","21"
"typescript","vitest","21"
"typescript","react-typescript","21"
"typescript","primeng","20"
"typescript","unit-testing","20"
"typescript","vercel","19"
"typescript","type-inference","19"
"typescript","mongoose","19"
"typescript","supabase","19"
"typescript","graphql","19"
"typescript","ts-jest","18"
"typescript","amazon-web-services","18"
"typescript","json","18"
"typescript","es6-modules","17"
"typescript","arrays","17"
"typescript","typescript-eslint","16"
"typescript","server-side-rendering","16"
"typescript","nuxt3.js","16"
"typescript","playwright-typescript","15"
"typescript","authentication","15"
"typescript","shadcnui","15"
"typescript","jwt","14"
"typescript","ios","14"
"typescript","android","14"
"typescript","frontend","14"
"typescript","enums","14"
"typescript","google-chrome-extension","14"
"typescript","playwright-test","14"
"typescript","ag-grid","14"
"typescript","union-types","14"
"typescript","testing","14"
"typescript","angular-reactive-forms","13"
"typescript","drizzle","13"
"typescript","angular-httpclient","13"
"typescript","aws-cdk","13"
"typescript","google-cloud-firestore","13"
"typescript","angular20","12"
"typescript","promise","12"
"typescript","websocket","12"
"typescript","sequelize.js","12"
"typescript","ts-node","12"
"typescript","tsx","12"
"typescript","turborepo","12"
"typescript","orm","12"
"typescript","next.js15","12"
"typescript","deno","12"
"typescript","inheritance","11"
"typescript","signals","11"
"typescript","bun","11"
"typescript","azure","11"
"typescript","ngrx","11"
"typescript","aws-lambda","11"
"typescript","asynchronous","11"
"typescript","debugging","11"
"typescript","pnpm","11"
"typescript","routes","11"
"typescript","import","11"
